feature,x,score
distance_to_nearest_major_city_km,230.17772882070514,-0.01599
distance_to_nearest_major_city_km,232.07718720881786,-0.00984
distance_to_nearest_major_city_km,233.46140252543665,-0.00596
distance_to_nearest_major_city_km,236.2526684114951,-0.00562
distance_to_nearest_major_city_km,238.19605763390172,-0.00618
distance_to_nearest_major_city_km,239.8870562636437,-0.00541
distance_to_nearest_major_city_km,243.26917452304008,-0.00524
distance_to_nearest_major_city_km,245.7463384778219,-0.00637
distance_to_nearest_major_city_km,249.66770828293653,-0.0064
distance_to_nearest_major_city_km,251.54409639049203,-0.00647
distance_to_nearest_major_city_km,254.24170092873385,-0.0074
distance_to_nearest_major_city_km,256.94865970434046,-0.00781
distance_to_nearest_major_city_km,258.9479090462943,-0.00793
distance_to_nearest_major_city_km,260.3003156737041,-0.00838
distance_to_nearest_major_city_km,265.9545611120759,-0.00818
distance_to_nearest_major_city_km,266.6398935023255,-0.00874
distance_to_nearest_major_city_km,269.40569505894575,-0.0087
distance_to_nearest_major_city_km,271.40056461604127,-0.00843
distance_to_nearest_major_city_km,272.53168105586633,-0.00841
distance_to_nearest_major_city_km,273.9085021283106,-0.00839
distance_to_nearest_major_city_km,275.7091136854639,-0.00775
distance_to_nearest_major_city_km,277.26704417571125,-0.0068
distance_to_nearest_major_city_km,279.4382555291421,-0.00553
distance_to_nearest_major_city_km,282.8835033949688,-0.00435
distance_to_nearest_major_city_km,286.56106802286143,-0.00142
distance_to_nearest_major_city_km,287.3994473385741,-0.00102
distance_to_nearest_major_city_km,288.50791024591786,-0.00048
distance_to_nearest_major_city_km,288.9885993586553,-0.00091
distance_to_nearest_major_city_km,290.3891894664347,-0.00042
distance_to_nearest_major_city_km,292.14018500099326,-0.00084
distance_to_nearest_major_city_km,296.2559918242146,-0.00139
distance_to_nearest_major_city_km,297.8394831601088,-0.0013
distance_to_nearest_major_city_km,299.01234398529766,-0.00119
distance_to_nearest_major_city_km,305.9107125715292,-0.00169
distance_to_nearest_major_city_km,313.94291454544566,-0.00292
distance_to_nearest_major_city_km,315.4943620941953,-0.00247
distance_to_nearest_major_city_km,316.50164163577017,-0.00324
