interaction,x,y,score
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,12,-0.06375
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,13,-0.0633
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,14,-0.06273
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,15,-0.06268
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,16,-0.06243
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,17,-0.04657
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,18,-0.04623
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,19,-0.04205
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,20,-0.03677
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,21,-0.03675
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,22,-0.03256
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,23,-0.03278
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,24,-0.02953
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,25,-0.02892
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,26,-0.02844
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,27,-0.0281
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,28,-0.02664
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,29,-0.01923
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,30,0.00156
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,31,0.00129
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,32,0.00098
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,33,0.0007
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,34,0.00075
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,35,0.00064
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,36,0.00059
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,37,0.00062
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,38,0.00212
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,39,0.02191
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,40,0.02193
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,41,0.0198
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,42,0.01949
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,43,0.01943
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,44,0.01919
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,45,0.01955
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,46,0.01997
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,47,0.02061
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,48,0.02193
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,49,0.05318
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,50,0.05309
num_amtrak_stations_80km & dest_metro_pop_weighted_sum,5,51,0.05351
